"week","r2001_2002","r2002_2003","r2003_2004","r2004_2005","r2005_2006","r2006_2007","r2007_2008","r2008_2009"
40,4.38192892511283,0,4.23119235000423,5.47765118317266,0,0,0,39.99600039996
41,7.20357297219421,7.50018750468762,30.4321363359708,9.39672993798158,3.59453630481668,3.69099029269553,12.0197123282183,12.5586068318821
42,10.9621076478971,7.82840144042587,47.6260257913247,8.80785660809442,6.64319404769813,14.1467727674624,29.4767870302137,3.80778310867413
43,14.2913287362893,11.1342042755344,107.816711590296,0,0,3.80430647492962,9.40822278671559,16.6979753704863
44,14.4493010150634,0,177.264841215961,4.26366504647395,3.66837857666911,0,4.23890466703404,4.04367165386171
45,28.5266010554842,6.77414984419455,240.764427055903,12.9377264102122,4.10004100041,3.65804587189523,7.5999392004864,11.3434416001815
46,29.4909131123972,11.3567534827377,246.324378415826,4.19938688951413,9.91768322919766,10.6409392402369,19.8302530340287,31.2292618183238
47,10.6761565836299,14.7950880307738,260.27913994719,12.1241513094083,3.27611060149391,7.0064809949203,28.148200274445,36.5163410626255
48,7.37028301886792,25.3476245654693,210.645710119096,34.480776966841,3.71195248700817,7.69349130635482,44.971381847915,17.7198142963462
49,3.50005250078751,59.3451092648188,113.925159933398,17.7514792899408,0,9.72573429293912,31.2512207508106,61.4793467819404
50,4.2966400274985,43.7132411381338,82.1827744904668,62.1296119288855,18.7941662907833,12.9662445433721,35.2278064819164,77.4326765895208
51,35.9324469996407,71.1118547644943,61.0066090493137,153.150017403411,4.0908161178155,18.6723928671459,74.9946432397686,277.897561209334
52,39.2486683487525,68.5119210742669,41.3778835212579,283.655755375277,22.6500566251416,31.5955766192733,103.39123242349,250.777875818511
1,167.025625247242,32.6397388820889,42.9737859905458,567.260940032415,24.2336120198716,9.92555831265509,257.408337518835,205.603901692646
2,562.593144560358,39.454806312769,42.0425011466137,559.750554115481,19.6437925615506,90.9702171419531,257.49063670412,284.820141355181
3,498.15432032398,110.192837465565,21.2621194080626,468.123933827905,18.349970640047,166.805671392827,225.660863958736,183.801004778826
4,373.407526724264,168.846098577382,14.9198060425214,266.983091070899,27.8330019880716,248.377533851454,182.322053675613,109.9116781158
5,327.092262576134,185.294989623481,4.26148470126992,107.215184846921,28.1170920678559,414.167380748358,146.576394220702,80.5999439304738
6,210.834762721555,220.526463175581,3.66703337000367,77.3893976525216,93.7236402261864,395.033860045147,123.175017208274,57.2287001931469
7,108.501627524413,172.740821026961,11.4007752527172,81.9354004053646,145.822029300054,314.996062549218,99.6193119151813,61.8519192286702
8,126.00189002835,158.577961351232,14.9655791679138,67.903068369902,141.491636272167,117.86175956201,88.784714823496,38.8983973860277
9,108.33831440526,86.9630973986691,19.0737773708705,47.8053020425902,157.601770504996,89.0852724227631,63.4495399908351,29.4399057923015
10,112.157918349035,59.5696965449576,11.9521912350598,57.0543646588964,193.675493371623,41.7609187402123,30.373595221221,19.0745050165948
11,47.3640106386855,47.3657363550244,4.15006640106242,35.3966638644308,208.938656916196,24.3605359317905,17.7077338527602,24.1021932995903
12,20.9669979452342,41.4851690520639,0,8.8261253309797,214.379419575721,34.1273633199099,18.6143479393917,3.67309458218549
13,16.9930753218064,80.8526277104006,0,4.30311114936099,145.337718962748,17.6647235470765,3.56087312609052,8.1799591002045
14,3.50005250078751,31.5391084945332,0,8.10536980749747,117.818282625269,0,26.0552371026576,8.69489609599165
15,0,11.2426922500375,0,4.30960179279435,41.0888546481767,11.463507833397,7.21709006928406,4.0711639457721
16,0,0,0,8.55029712282502,48.0964889563062,7.75404179428527,3.86503304603254,0
17,0,17.9044617918785,0,0,3.69058163566578,3.87101769055085,0,4.63284688441047
18,0,8,0,0,3.44423779017703,0,8.25423029302518,0
19,5.36970412930248,8.35142809420411,0,0,6.90274038793401,0,0,0
20,0,0,0,0,3.57232165184153,0,0,0
