1/season;1/temporada
10/season;10/temporada
2/season;2/temporada
3/season;3/temporada
30 in total;30 en total
4/season;4/temporada
5/season;5/temporada
6/season;6/temporada
7/season;7/temporada
8/season;8/temporada
9/season;9/temporada
Aditive;Aditivo
All;Todos
Animated;Animación
Arithmetic mean and mean confidence interval;Media aritmética e IC de la media
Arithmetic mean and point confidence interval;Media aritmética e IC de los datos
Average;Media
Average curve;Curva media
Average curve CI.;IC curva media
Average curve/Other CI. level;Nivel curva media/otros IC
Average epidemic length;Duración epidémica media
Average epidemic start week;Semana de inicio media
Baseline;Basal
Baseline level;Nivel basal
Check & describe;Comprobar y describir
Cross;Cruzada
Current parameter;Parámetro actual
Data;Datos
Dataset;Datos
Detailed;Detallado
Duration;Duración
Duration (lower limit);Duración (límite inf.)
Duration (upper limit);Duración (límite sup.)
End;Fin
Epidemic;Epidemia
Epidemic %;Porc. epidémico
Epidemic (missing);Epidemia (ausentes)
Epidemic end;Fin epidemia
Epidemic percentage;Porcentaje epidémico
Epidemic perc.;Porc. epidemico
Epidemic perc. (lower limit);Porc. epidemico (límite inf.)
Epidemic perc. (upper limit);Porc. epidemico (límite sup.)
Epidemic start;Inicio epidemia
Epidemic thr.;Umb. epidémico
Epidemic threshold;Umbral epidémico
Estimators;Estimadores
Evolution;Evolución
Exclude;Excluir
File;Fichero
Fill missings;Rellenar ausentes
First Week;Semana inicio
Fixed criterium method;Criterio fijo
Force epidemic start;Forzar inicio epidemia
From;Desde
Geometric mean and mean confidence interval;Media geométrica e IC de la media
Geometric mean and point confidence interval;Media geométrica e IC de los datos
Global goodness summary;Resumen bondad global
Global goodness indicators;Indicadores bondad globales
Global goodness intensity;Intensidad bondad global
Goodness;Bondad
Goodness & optimize;Bondad y optimización
Graph options;Opciones gráficas
Graphs;Gráficos
High;Alto
High int. thr.;Umb. alto
High level;Nivel alto
High lvl;Nvl alto
High thr.;Umb. alto
High threshold;Umbral alto
Indicator;Indicador
Indicators;Indicadores
Intensity;Intensidad
Intensity thresholds/levels;Umbrales/niveles de intensidad
