Original;Translated
<b>Original</b>: uses the process shown in the original paper.<br><b>Fixed criterium</b>: uses the slope of the MAP curve fo find the optimum, which is the point where the slope is lower than a predefined value.<br><b>Slope</b>: calculates the slope of the MAP curve, but the optimum is the one that matches the global mean slope.<br><b>Second derivative</b>: calculates the second derivative and equals to zero to search an inflexion point in the original curve;<b>Original</b>: usa el proceso que se muestra en el artículo original.<br><b>Criterio fijo</b>: usa la pendiente de la curva MAP para buscar el óptimo, que es el punto donde la pendiente es menor que un valor predefinido.<br><b>Slope</b>: calcula la pendiente de la curva MAP, el óptimo es el punto donde la pendiente es igual a la pendiente media global.<br><b>Second derivative</b>: calcula la segunda derivada e iguala a cero para buscar el punto de inflexión de la curva original
1/season;1/temporada
10/season;10/temporada
2/season;2/temporada
3/season;3/temporada
30 in total;30 en total
4/season;4/temporada
5/season;5/temporada
6/season;6/temporada
7/season;7/temporada
8/season;8/temporada
9/season;9/temporada
Aditive;Aditivo
All;Todos
Animated;Animación
Arithmetic mean and mean confidence interval;Media aritmética e IC de la media
Arithmetic mean and point confidence interval;Media aritmética e IC de los datos
Automatic;Automática
Average;Media
Average curve;Curva media
Average curve CI.;IC curva media
Average curve/Other CI. level;Nivel curva media/otros IC
Average epidemic length;Duración epidémica media
Average epidemic start week;Semana de inicio media
Baseline;Basal
Baseline level;Nivel basal
Calculation in progress. This may take a while...;Realizando cálculos. Espere, por favor, tardará un rato...
Change the language of the application;Cambia el idioma de la aplicación
Change the main title in most graphs;Cambia el título principal de los gráficos
Change the x-axis label in most graphs;Cambia la etiqueta del eje X
Change the y-axis label in most graphs;Cambia la etiqueta del ejeY
Check & describe;Comprobar y describir
Check data series, timing and describe the data;Comprobar y describir los datos, gráficos de temporadas y series
Check this tickbox if you want to include epidemic thresholds in the graphs.<br>This is a global option that will work on most graphs;Marque esta casilla si quiere incluir los umbrales epidémicos (y los inicios de epidemia) en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
Check this tickbox if you want to include intensity thresholds in the graphs.<br>This  is a global option that will work on most graphs;Marque esta casilla si quiere incluir los umbrales de intensidad en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
Check this tickbox if you want to include post-epidemic thresholds in the graphs.<br>This  is a global option that will work on most graphs;Marque esta casilla si quiere incluir los umbrales posepidémicos (y los finales de epidemia) en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
Choose if you want to use one-tailed or two-tailed confidence intervals for thresholds;Seleccione si quiere usar intervalos de una o de dos colas para los umbrales
Chose a week to force the start of the epidemic period.<br>The epidemic will start at the week selected and not at the first week over the epidemic threshold;Seleccione la semana en la que quiere forzar el inicio de la epidemia en el gráfico.<br>La epidemia se iniciará en esa semana y no en la primera que cruce el umbral epidémico
Clicks;Clics
Color of the line of observed data;Color de la línea de datos observados
Color of the point of the epidemic end marker;Color del punto que marca el fin de la epidemia
Color of the point of the epidemic start marker;Color del punto que marca el inicio de la epidemia
Color of the points of observed data;Color de los puntos de datos observados
Cross;Cruzada
Cross: Extracts one season and the model is calculated with the remaining seasons.<br>Sequential: Extract a season and the model is calculated with previous seasons only;Cross: Extrae una temporada y el modelo se calcula con el resto.<br>Sequential: Extrae una temporada y el modelo se calcula con las precedentes únicamente
Current parameter;Parámetro actual
Data;Datos
Dataset;Datos
Description;Descripción
Detailed;Detallado
Duration;Duración
Duration (lower limit);Duración (límite inf.)
Duration (upper limit);Duración (límite sup.)
End;Fin
Epidemic;Epidemia
Epidemic %;Porc. epidémico
Epidemic (missing);Epidemia (ausentes)
Epidemic end;Fin epidemia
Epidemic perc.;Porc. epidemico
Epidemic perc. (lower limit);Porc. epidemico (límite inf.)
Epidemic perc. (upper limit);Porc. epidemico (límite sup.)
Epidemic percentage;Porcentaje epidémico
Epidemic start;Inicio epidemia
Epidemic thr.;Umb. epidémico
Epidemic threshold;Umbral epidémico
Estimators;Estimadores
Evolution;Evolución
Exclude;Excluir
File;Fichero
Fill missings;Rellenar ausentes
