Original;Translated
app.default;по умолчанию
app.globalgoodnessindicators;Глобальные индикаторы согласованности
app.globalgoodnessintensity;Глобальная интенсивность согласованности
app.globalgoodnesssummary;Глобальное резюме согласованности
app.modeldata;Данные модели
app.modelgoodnessindicators;Индикаторы согласованности модели
app.modelgoodnessintensity;Интенсивность согласованности модели
app.modelgoodnesssummary;Резюме согласованности модели
app.optimization;Оптимизация
app.showadvancedtickbox;Show the advanced features tickbox
app.showexperimentaltickbox;Show the experimental features tickbox
app.weekna;Неделя, НА (не применимо)
app.weekno;Номер недели
graphs.averagecurve;Средняя кривая
graphs.averagelength;Средняя продолжительность эпидемии
graphs.averagestart;Средняя неделя начала эпидемии
graphs.baselinelevel;Исходный уровень
graphs.duration;Продолжительность
graphs.durationlower;Продолжительность (нижняя граница)
graphs.durationupper;Продолжительность (верхняя граница)
graphs.end;Окончание
graphs.endcentering;Окончание периода центрирования
graphs.epidemic;Эпидемический 
graphs.epidemicmiss;Эпидемический (данные отсутствуют)
graphs.epidemicpercentage;Эпидемический процент
graphs.epidemicpercentage.short;Эпидемический процент
graphs.epiperclower;Эпидемический процент (нижняя граница)
graphs.epipercupper;Эпидемический процент (верхняя граница)
graphs.highlevel;Высокий уровень
graphs.highthreshold;Высокое пороговое значение
graphs.highthreshold.short;Высокое пороговое значение
graphs.indicator;Индикатор
graphs.legend;Легенда
graphs.level;уровень
graphs.lowerinterval;Нижний интервал
graphs.lowerlimit;Нижняя граница
graphs.lowlevel;Низкий уровень
graphs.matthews;Коэффициент корреляции Мэтьюса
graphs.meanend;Средний момент окончания
graphs.meanstart;Средний момент начала
graphs.mediumlevel;Средний уровень
graphs.mediumthreshold;Средний порог
graphs.mediumthreshold.short;Средний порог
graphs.missing;Пропущено
graphs.modelseasons;Сезоны в модели
graphs.next;следующий
graphs.no;Нет
graphs.nodataseasons;Данные о сезонах отсутствуют
graphs.npv;Отрицательное прогностическое значение
graphs.percent;Процент согласованности
graphs.point;Точка
graphs.postepidemic;Постэпидемический
graphs.postepidemicmiss;Постэпидемический (пропущенные данные)
graphs.postthreshold;Постэпидемический порог
graphs.postthreshold.short;После порога
graphs.ppv;Положительное прогностическое значение
graphs.preepidemic;Предэпидемический
graphs.preepidemicmiss;Предэпидемический (пропущенные данные)
graphs.prethreshold;Предэпидемический порог
